id,is_correct,true_label_text,prediction_text,true_label,predicted_label,predicted_label_id,finish_reason,text,error
ynat-v1_dev_00020,True,생활문화,생활문화,3,생활문화,3.0,STOP,이문열 최인훈 내게 가장 큰 영향 준 작가종합,
ynat-v1_dev_00021,True,경제,경제,1,경제,1.0,STOP,기업들 현금 실탄 쌓자…코로나 위기에 자산 처분 잇따라,
ynat-v1_dev_00022,False,사회,,2,,,SAFETY,최저임금 인상에 작년 저임금 노동자 비중 17%로 줄어,
ynat-v1_dev_00023,True,사회,사회,2,사회,2.0,STOP,고양시 여름방학 직장체험 대학생 100명 모집,
ynat-v1_dev_00024,True,경제,경제,1,경제,1.0,STOP,IBK투자증권 서병기 차기 대표이사 내정,
ynat-v1_dev_00025,True,생활문화,생활문화,3,생활문화,3.0,STOP,전국 거리공연자들 모여라…군산서 13∼14일 버스커즈 경연,
ynat-v1_dev_00026,False,사회,경제,2,경제,1.0,STOP,두산밥캣 스캇성철박 단독 대표이사로 변경,
ynat-v1_dev_00027,False,사회,경제,2,경제,1.0,STOP,2021년 삼성디스플레이 정기 임원 인사,
ynat-v1_dev_00028,False,사회,정치,2,정치,6.0,STOP,광주소식 고삼석 전 방통위 상임위원 지역방송 신년 특강,
ynat-v1_dev_00029,True,생활문화,생활문화,3,생활문화,3.0,STOP,춤바람 스타부부 4팀 한 무대에서 만난다,
ynat-v1_dev_00030,True,경제,경제,1,경제,1.0,STOP,신한은행 작년 영업이익 3조2천633억원…전년 대비 3.1%↑,
ynat-v1_dev_00031,True,경제,경제,1,경제,1.0,STOP,주식 호가창 깜빡깜빡하면 초단기 시세조종 의심하세요,
ynat-v1_dev_00032,True,경제,경제,1,경제,1.0,STOP,또 불안해진 부동산시장…정부 군포·인천·안산·대전 주시,
ynat-v1_dev_00033,True,생활문화,생활문화,3,생활문화,3.0,STOP,여든 앞둔 노익장이 쓴 노장으로 읽는 선어록,
ynat-v1_dev_00034,True,사회,사회,2,사회,2.0,STOP,한양대 5년만에 기숙사 확충 꿈 이뤘다…건축허가 승인,
ynat-v1_dev_00035,True,경제,경제,1,경제,1.0,STOP,하루평균 수출 감소폭 전월보다 줄어…향후 예단 쉽지 않아,
ynat-v1_dev_00036,True,생활문화,생활문화,3,생활문화,3.0,STOP,전국 곳곳서 가을볕 쨍쨍…늦더위에 양양 낮 31.9도,
ynat-v1_dev_00037,False,사회,,2,,,SAFETY,동정 아시아뉴스네트워크 회장에 천시영씨,
ynat-v1_dev_00038,True,경제,경제,1,경제,1.0,STOP,라임 무역펀드 100% 반환 조정결과에 판매사 수용여부 검토종합,
ynat-v1_dev_00039,False,사회,정치,2,정치,6.0,STOP,교육부·전국 시도교육청 국가교육위 조속 설치 결의안 채택,
ynat-v1_dev_00040,False,사회,경제,2,경제,1.0,STOP,한국 수출 회복 신호…코로나 재확산·미중 갈등은 변수,
ynat-v1_dev_00041,True,사회,사회,2,사회,2.0,STOP,쓰레기 투기 안 됩니다…완도 낚시터 양심신호등 효과 톡톡,
ynat-v1_dev_00042,True,세계,세계,4,세계,4.0,STOP,쇠사슬에 묶이고 성적 학대도 나이지리아 또 300명 구출,
ynat-v1_dev_00043,True,사회,사회,2,사회,2.0,STOP,군산대 총장 지역 중심 국립대 참여하는 국립대 네트워크 필요,
ynat-v1_dev_00044,True,사회,사회,2,사회,2.0,STOP,고사장 배정 받는 수험생들,
ynat-v1_dev_00045,True,스포츠,스포츠,5,스포츠,5.0,STOP,악몽의 8회 에인절스 오타니·시몬스 연쇄 부상,
ynat-v1_dev_00046,True,세계,세계,4,세계,4.0,STOP,인도 모디 총리 천민 공격 중단 호소…힌두 강경파 거리 두기,
ynat-v1_dev_00047,True,사회,사회,2,사회,2.0,STOP,폴리텍 2021학년도 직업교육훈련과정 신입생 모집,
ynat-v1_dev_00048,False,IT과학,,0,,,SAFETY,LG헬로 중소기업에 클라우드PC 서비스 체험기회 제공,
ynat-v1_dev_00049,True,사회,사회,2,사회,2.0,STOP,영흥화력발전소서 숨진 운전기사의 화물차,
ynat-v1_dev_00050,False,정치,세계,6,세계,4.0,STOP,남수단 대통령·야권 지도자 교황 초청으로 교황청서 피정 돌입,
ynat-v1_dev_00051,False,세계,사회,4,사회,2.0,STOP,입국 중국 유학생 학교 버스 탑승 전 발열 체크,
ynat-v1_dev_00052,True,사회,사회,2,사회,2.0,STOP,인천교육청 화재 초등생 형제 성금 모금 공문에 일각서 반발,
ynat-v1_dev_00053,True,스포츠,스포츠,5,스포츠,5.0,STOP,갈기 세운 류현진 천적 에러나도 보란듯이 넘었다,
ynat-v1_dev_00054,True,정치,정치,6,정치,6.0,STOP,둘로 나뉜 바른미래 권은희 포섭 경쟁…당내 캐스팅보터,
ynat-v1_dev_00055,False,사회,정치,2,정치,6.0,STOP,중소기업도 재택근무 확산…2월말부터 1만6천명 지원금 신청,
ynat-v1_dev_00056,True,생활문화,생활문화,3,생활문화,3.0,STOP,고독한 노동자 김동식의 천일야화 같은 이야기들,
ynat-v1_dev_00057,True,스포츠,스포츠,5,스포츠,5.0,STOP,슈틸리케는 베일·기성용은 메시…또 엇갈린 투표,
ynat-v1_dev_00058,False,정치,사회,6,사회,2.0,STOP,北에도 사교육 열풍…특권층 자녀에 월 1천 위안,
ynat-v1_dev_00059,True,경제,경제,1,경제,1.0,STOP,항공업 타격에 카드사 전전긍긍…못받는 항공권 취소대금 ↑,
ynat-v1_dev_00060,False,사회,경제,2,경제,1.0,STOP,그래픽 사업체 종사자 증감률,
ynat-v1_dev_00061,True,스포츠,스포츠,5,스포츠,5.0,STOP,스페셜올림픽 전 배구국가대표 김성민 발달장애선수들 가...,
ynat-v1_dev_00062,True,사회,사회,2,사회,2.0,STOP,차기 한국언론법학회장에 이승선 충남대 교수,
ynat-v1_dev_00063,False,정치,세계,6,세계,4.0,STOP,北매체 박 대통령에 독단·전횡으로 망조 또 막말,
ynat-v1_dev_00064,False,사회,정치,2,정치,6.0,STOP,정부 싱가포르·일본·태국 등 6개국 여행 자제해달라,
ynat-v1_dev_00065,True,사회,사회,2,사회,2.0,STOP,혼돈의 학교⑥ 교사·학생 제역할 할 수 있는 환경 조성해야,
ynat-v1_dev_00066,True,세계,세계,4,세계,4.0,STOP,英 의회 정회 막은 여장부 밀러 의회민주주의 지키려했다,
ynat-v1_dev_00067,True,사회,사회,2,사회,2.0,STOP,욕·성희롱·신세 한탄까지…30명이 1년간 허위신고 9천500건,
ynat-v1_dev_00068,True,세계,세계,4,세계,4.0,STOP,이란 외무 트럼프 볼턴에 들볶여 알렉산더도 못한 일 하려해,
ynat-v1_dev_00069,True,경제,경제,1,경제,1.0,STOP,1보 코스피 상승 마감…1940선 돌파,
ynat-v1_dev_00070,True,생활문화,생활문화,3,생활문화,3.0,STOP,토마토 200t 한자리에…퇴촌 토마토축제 개막,
ynat-v1_dev_00071,True,경제,경제,1,경제,1.0,STOP,엘지이노텍 2분기 영업익 134억원…59% 감소,
ynat-v1_dev_00072,True,생활문화,생활문화,3,생활문화,3.0,STOP,日밴드 세카이노 오와리 11월 내한공연,
ynat-v1_dev_00073,True,사회,사회,2,사회,2.0,STOP,코로나19에 대학 수업일수 단축…학생들 교육 질 저하 우려,
ynat-v1_dev_00074,False,사회,경제,2,경제,1.0,STOP,구직 열기,
ynat-v1_dev_00075,False,세계,,4,,,SAFETY,日 장애인 불임수술 정책 피해자 구제법 제정종합,
ynat-v1_dev_00076,True,생활문화,생활문화,3,생활문화,3.0,STOP,세종대왕 숭모제전·문화재재단 명작무뎐 공연,
ynat-v1_dev_00077,True,스포츠,스포츠,5,스포츠,5.0,STOP,단일팀 기운 이어갈까 여자농구 대표팀 월드컵 결단식,
ynat-v1_dev_00078,True,경제,경제,1,경제,1.0,STOP,소부장 투자상품 7일만에 목표수익 달성 상환완료 대박,
ynat-v1_dev_00079,True,스포츠,스포츠,5,스포츠,5.0,STOP,프로농구 kt 새 외국인 선수 스테판 무디 영입,
ynat-v1_dev_00080,True,경제,경제,1,경제,1.0,STOP,라임 무역금융 펀드 실사 종료…손실 확대 우려종합,
ynat-v1_dev_00081,True,경제,경제,1,경제,1.0,STOP,경영계 한일 기업인 입국제한 완화 환영…협력확대 계기 돼야,
ynat-v1_dev_00082,False,경제,사회,1,사회,2.0,STOP,관광주간 지출 5조원 달하지만…국민 여가없어 여행 못가,
ynat-v1_dev_00083,True,사회,사회,2,사회,2.0,STOP,수능 당일 마스크 꼭 써야 망사밸브형은 불가…단체 점심 안돼종합,
ynat-v1_dev_00084,False,사회,정치,2,정치,6.0,STOP,속보 홍남기 중기 화학물질 시설 검사유예 연말까지 연장,
ynat-v1_dev_00085,True,생활문화,생활문화,3,생활문화,3.0,STOP,현대미술로 끌어온 초충도…송현미 개인전,
ynat-v1_dev_00086,False,사회,경제,2,경제,1.0,STOP,시노펙스 손경익·이진희 대표이사 체제로 변경,
ynat-v1_dev_00087,True,세계,세계,4,세계,4.0,STOP,美 대선족집게 무디스 애널리틱스 힐러리 낙승 전망,
ynat-v1_dev_00088,True,스포츠,스포츠,5,스포츠,5.0,STOP,파죽지세 DB vs 18년 기다린 SK…전문가들도 백중세...,
ynat-v1_dev_00089,True,경제,경제,1,경제,1.0,STOP,최양하 한샘 회장 부인·아들에게 주식 15만주 증여,
ynat-v1_dev_00090,True,세계,세계,4,세계,4.0,STOP,노딜 브렉시트 우려…英 응급처치용 의료장비 비축,
ynat-v1_dev_00091,False,경제,정치,1,정치,6.0,STOP,금융당국 은행 유동성 비율 규제 완화 연장할듯,
ynat-v1_dev_00092,True,사회,사회,2,사회,2.0,STOP,코레일네트웍스 노조 파업…매표 등 큰 지장 없어종합,
ynat-v1_dev_00093,True,사회,사회,2,사회,2.0,STOP,기자협회 KTG의 경향신문 소송과 기자 가압류 규탄,
ynat-v1_dev_00094,True,사회,사회,2,사회,2.0,STOP,제주도 유치·초등 1∼3년생 대상 긴급돌봄 무상급식비 지원,
ynat-v1_dev_00095,False,세계,,4,,,SAFETY,마야 뱀왕조 비밀 풀 왕실 무덤 벨리즈서 발굴,
ynat-v1_dev_00096,True,사회,사회,2,사회,2.0,STOP,용인서 옛 연인 살해한 중국교포 신상공개…49세 유동수,
ynat-v1_dev_00097,True,경제,경제,1,경제,1.0,STOP,그래픽 코로나19 확산 이후 한국은행의 주요 금융 정책 대응,
ynat-v1_dev_00098,False,정치,세계,6,세계,4.0,STOP,북핵 극도로 우려…아태지역의 가장 위험하고 예측불가한 나라,
ynat-v1_dev_00099,True,경제,경제,1,경제,1.0,STOP,세아제강 김석일 대표이사 신규 선임,
ynat-v1_dev_00100,False,사회,정치,2,정치,6.0,STOP,동정 교육차관 내일 경남지역 학교 디지털 활용 수업 참관,
ynat-v1_dev_00101,True,사회,사회,2,사회,2.0,STOP,게시판 서울시자원봉사센터 대학생 봉사활동 캠페인 지원,
ynat-v1_dev_00102,False,경제,사회,1,사회,2.0,STOP,270억대 소송사기 허수영 영장 기각…롯데 수사 제동,
ynat-v1_dev_00103,False,사회,경제,2,경제,1.0,STOP,이변의 주인공 김병원…삼수 끝에 농협회장 올라,
ynat-v1_dev_00104,True,사회,사회,2,사회,2.0,STOP,서울시 주말 99인 집회 대규모화 가능성…코로나 확산 위험,
ynat-v1_dev_00105,False,사회,경제,2,경제,1.0,STOP,대우조선해양 송가 반잠수식시추선 4호선 인도 완료,
ynat-v1_dev_00106,True,스포츠,스포츠,5,스포츠,5.0,STOP,배구협회 최천식 경기력향상위원장 사퇴 수용…새 위원장 물색,
ynat-v1_dev_00107,True,정치,정치,6,정치,6.0,STOP,朴대통령 노동개혁법에 실업해결책 있어…파견법은 일석사조,
ynat-v1_dev_00108,True,경제,경제,1,경제,1.0,STOP,임대차법 시행 3개월간 서울 전셋값 7.5% 뛰었다종합,
ynat-v1_dev_00109,False,IT과학,생활문화,0,생활문화,3.0,STOP,모바일 개그 콘테스트 개최…총상금 1천만원,
ynat-v1_dev_00110,True,사회,사회,2,사회,2.0,STOP,인권위 지상파 3사 메인뉴스에 수어 통역 제공해야 권고,
ynat-v1_dev_00111,True,생활문화,생활문화,3,생활문화,3.0,STOP,봄비와 백목련,
ynat-v1_dev_00112,False,정치,세계,6,세계,4.0,STOP,시종 미소 띤 김여정…국가수반 김영남과 서로 먼저 앉으시라종합,
ynat-v1_dev_00113,True,경제,경제,1,경제,1.0,STOP,경기도 6월 취업자 전년比 11만4천명↓…3개월 연속 하락세,
ynat-v1_dev_00114,True,생활문화,생활문화,3,생활문화,3.0,STOP,한국과학소설작가연대 대표에 정소연 작가,
ynat-v1_dev_00115,True,사회,사회,2,사회,2.0,STOP,한국경제신문 사옥 흔들려 직원 대피,
ynat-v1_dev_00116,False,세계,,4,,,SAFETY,伊 경찰 오인으로 억울한 옥살이 아프리카 남성에 망명 허용,
ynat-v1_dev_00117,True,생활문화,생활문화,3,생활문화,3.0,STOP,래틀·얀손스·예르비…가을과 함께 거장들이 온다,
ynat-v1_dev_00118,False,스포츠,,5,,,SAFETY,伊축구협 反유대 논란에 프로축구장서 안네의 일기 낭독,
ynat-v1_dev_00119,False,사회,세계,2,세계,4.0,STOP,OANA 사무국장 이동민 선임기자 지명,
ynat-v1_dev_00120,True,생활문화,생활문화,3,생활문화,3.0,STOP,황매산을 덮은 철쭉,
ynat-v1_dev_00121,False,정치,,6,,,SAFETY,나경원 지인 자녀 부정채용 고발사건 무혐의로 종결,
ynat-v1_dev_00122,True,생활문화,생활문화,3,생활문화,3.0,STOP,연합뉴스 여행 다큐멘터리 시리즈 MC 유세진서경덕,
ynat-v1_dev_00123,False,사회,생활문화,2,생활문화,3.0,STOP,낙동강 구포나루축제 부산시 최우수축제에 선정,
ynat-v1_dev_00124,True,사회,사회,2,사회,2.0,STOP,한국기자협회 윤리강령 낭독하는 기자들,
ynat-v1_dev_00125,True,경제,경제,1,경제,1.0,STOP,올림픽 강원상품관 올림픽 특수…우수상품 홍보 효과,
ynat-v1_dev_00126,True,사회,사회,2,사회,2.0,STOP,여성 2명 살해 혐의로 신상공개 최신종 포토라인 안 선다종합,
ynat-v1_dev_00127,True,스포츠,스포츠,5,스포츠,5.0,STOP,日축구스타 혼다 멕시코 파추카 입단회견서 깜짝 스페인어,
ynat-v1_dev_00128,True,사회,사회,2,사회,2.0,STOP,광주 주요 사립대 등록금 감면 현재 계획 없어,
ynat-v1_dev_00129,True,경제,경제,1,경제,1.0,STOP,손태승 우리금융 회장 언택트는 새 표준…디지털 혁신해야,
ynat-v1_dev_00130,True,경제,경제,1,경제,1.0,STOP,빚 3.5조 더 늘린 슈퍼예산에 국가채무 956조…GDP 대비 47.3%,
ynat-v1_dev_00131,True,경제,경제,1,경제,1.0,STOP,피곤한 현대사회 세계 에너지음료 시장 급성장…5년새 30%↑,
ynat-v1_dev_00132,False,사회,,2,,,SAFETY,성범죄자 죄질 따라 취업제한 기간 차등화종합,
ynat-v1_dev_00133,False,스포츠,사회,5,사회,2.0,STOP,아스널맨시티 서포터스 FA컵 끝나고 난투극,
ynat-v1_dev_00134,False,경제,정치,1,정치,6.0,STOP,내달부터 중기 수출입 세관검사 비용 90% 정부가 부담,
ynat-v1_dev_00135,True,경제,경제,1,경제,1.0,STOP,자이언트스텝 등 3개사 코스닥 상장예비심사 통과,
ynat-v1_dev_00136,True,생활문화,생활문화,3,생활문화,3.0,STOP,노래 김세일·피아노 손민수…겨울에 듣는 슈베르트 연가곡,
ynat-v1_dev_00137,True,사회,사회,2,사회,2.0,STOP,서울 시민 96% 코로나19 시작 후 학습 격차 발생,
ynat-v1_dev_00138,True,생활문화,생활문화,3,생활문화,3.0,STOP,대한항공 여행사진공모전 수상작 전시회 개최,
ynat-v1_dev_00139,False,사회,정치,2,정치,6.0,STOP,서울 송파구 1인당 540만원 지원하는 청년취업인턴제,
ynat-v1_dev_00140,True,사회,사회,2,사회,2.0,STOP,부천 시내버스 소신여객 파업…일부노선 205대 운행 중단,
ynat-v1_dev_00141,True,경제,경제,1,경제,1.0,STOP,그래픽 10대 그룹 시가총액 증감,
ynat-v1_dev_00142,True,생활문화,생활문화,3,생활문화,3.0,STOP,아동신간 역사 속 크라임씬·완두의 여행이야기,
ynat-v1_dev_00143,True,생활문화,생활문화,3,생활문화,3.0,STOP,신간 창백한 말·금색기계·백설공주 살인사건,
ynat-v1_dev_00144,True,사회,사회,2,사회,2.0,STOP,국립 부산대 특혜임용 점입가경…심사위원에게 청탁 전화도,
ynat-v1_dev_00145,True,생활문화,생활문화,3,생활문화,3.0,STOP,극발전소301 창단 10주년 기념연극 만리향 공연,
ynat-v1_dev_00146,False,생활문화,IT과학,3,IT과학,0.0,STOP,그래픽 서울 11월 일강수량 추이,
ynat-v1_dev_00147,True,사회,사회,2,사회,2.0,STOP,속보 학생 11명·교직원 3명 코로나19 신규 확진,
ynat-v1_dev_00148,True,사회,사회,2,사회,2.0,STOP,함평 확진 초등생 다닌 학교 원격수업…어린이집은 2주간 휴원종합,
ynat-v1_dev_00149,True,경제,경제,1,경제,1.0,STOP,하남 미사강변도시 근린상업용지 첫 분양,
ynat-v1_dev_00150,True,사회,사회,2,사회,2.0,STOP,대사관 상급자가 부하 성추행…법원 국가는 감독책임 없어,
ynat-v1_dev_00151,True,사회,사회,2,사회,2.0,STOP,경남 초등생 19만명에게 세정제 등 위생 키트 제공 추진,
ynat-v1_dev_00152,True,경제,경제,1,경제,1.0,STOP,5월 회사채 발행 11.4조원 54%↑…코로나19 이전 수준 회복,
ynat-v1_dev_00153,True,정치,정치,6,정치,6.0,STOP,문대통령 이진성 헌재소장 후임에 유남석 헌법재판관 지명종합,
ynat-v1_dev_00154,False,정치,세계,6,세계,4.0,STOP,北 35년만의 직업총동맹 대회 10월 하순 개최,
ynat-v1_dev_00155,True,사회,사회,2,사회,2.0,STOP,광주교육청 스쿨 미투 TF 운영 보고회 27일 개최,
ynat-v1_dev_00156,True,스포츠,스포츠,5,스포츠,5.0,STOP,삼성 파워피처 맥과이어 영입…최대 95만 달러,
ynat-v1_dev_00157,True,사회,사회,2,사회,2.0,STOP,대구가톨릭대 제27대 총장에 우동기 전 대구교육감,
ynat-v1_dev_00158,False,생활문화,사회,3,사회,2.0,STOP,경기북부 강추위 여전…포천시 일동면 영하 17.3도,
ynat-v1_dev_00159,True,사회,사회,2,사회,2.0,STOP,근로자의 날 노동자학생 기자회견,
ynat-v1_dev_00160,True,사회,사회,2,사회,2.0,STOP,연대 감사 결과에 학생들 분노,
ynat-v1_dev_00161,True,IT과학,IT과학,0,IT과학,0.0,STOP,KT 5G 영상통화 앱 나를 데이터 요금 6월 말까지 무료,
ynat-v1_dev_00162,True,경제,경제,1,경제,1.0,STOP,SNS돋보기 작년 대졸 실업률 고졸 첫 추월…취업난 실감,
ynat-v1_dev_00163,True,사회,사회,2,사회,2.0,STOP,현직 검사 검언유착 의혹으로 동료에 칼 꽂지 말라,
ynat-v1_dev_00164,False,경제,,1,,,SAFETY,1인당 2천만원 생활안정자금 융자 모든 특수고용직으로 확대,
ynat-v1_dev_00165,True,사회,사회,2,사회,2.0,STOP,부산 공·사립 중등교사 임용시험 경쟁률 8.4 대 1,
ynat-v1_dev_00166,True,사회,사회,2,사회,2.0,STOP,코로나19 제주 네 번째 확진자 발생,
ynat-v1_dev_00167,False,경제,,1,,,SAFETY,전세형 매입임대주택 입주자 첫 모집…서울 174가구,
ynat-v1_dev_00168,True,생활문화,생활문화,3,생활문화,3.0,STOP,문학주간·파주북소리·와우북페스티벌…9월 풍성한 책 축제,
ynat-v1_dev_00169,True,경제,경제,1,경제,1.0,STOP,라임 무역금융펀드 100% 배상 결정…사상 첫 계약취소종합,
ynat-v1_dev_00170,True,스포츠,스포츠,5,스포츠,5.0,STOP,트라오레 첼시 떠나 127억원에 프랑스 리옹 합류,
ynat-v1_dev_00171,False,사회,생활문화,2,생활문화,3.0,STOP,대한출판문화협회 회장에 윤철호 사회평론 대표,
ynat-v1_dev_00172,True,생활문화,생활문화,3,생활문화,3.0,STOP,제27회 편운문학상에 최승자·신덕룡 시인,
ynat-v1_dev_00173,False,사회,,2,,,SAFETY,학교비정규직노조 공립유치원 교육시간 감축 철회하라,
ynat-v1_dev_00174,True,정치,정치,6,정치,6.0,STOP,朴대통령 여야가 서약까지 한 입법 하루아침에 깨 기막혀,
ynat-v1_dev_00175,True,사회,사회,2,사회,2.0,STOP,전북소식 도 소방본부 유학생 기숙사에 전담구급대 배치,
ynat-v1_dev_00176,True,생활문화,생활문화,3,생활문화,3.0,STOP,맛좋고 건강한 슬로피시 아시나요…해양생물학자의 인문학,
ynat-v1_dev_00177,False,세계,,4,,,SAFETY,인니 선거부정에 발칵…말레이서 기표 된 투표용지 무더기 발견,
ynat-v1_dev_00178,True,경제,경제,1,경제,1.0,STOP,장남식 손보협회장 재난·정보유출 등 관련 신상품 활성화,
ynat-v1_dev_00179,False,사회,정치,2,정치,6.0,STOP,인사말하는 박준식 최저임금위원회 위원장,
ynat-v1_dev_00180,False,생활문화,사회,3,사회,2.0,STOP,한 움큼 잡힐 만큼 내린 우박,
ynat-v1_dev_00181,True,사회,사회,2,사회,2.0,STOP,충북교육청 코로나19 우려…유치원 포함 전 학교 입학식 취소,
ynat-v1_dev_00182,False,세계,생활문화,4,생활문화,3.0,STOP,모스크바국제도서전에 한국관 설치…내년에는 주빈국,
ynat-v1_dev_00183,True,스포츠,스포츠,5,스포츠,5.0,STOP,아가메즈 33득점 우리카드 KB손해보험 완파…3위 굳...,
ynat-v1_dev_00184,True,사회,사회,2,사회,2.0,STOP,수고했어…수능 치른 학생들에게 랍스터 급식 눈길,
ynat-v1_dev_00185,False,정치,세계,6,세계,4.0,STOP,팩트체크 논란의 北삭간몰 기지…비밀 미사일 시설 맞나,
ynat-v1_dev_00186,True,사회,사회,2,사회,2.0,STOP,그래픽 전국 수능 결시율 추이,
ynat-v1_dev_00187,False,사회,경제,2,경제,1.0,STOP,동정 디지털타임스 박학용 대표이사 재선임,
ynat-v1_dev_00188,True,사회,사회,2,사회,2.0,STOP,서울 성북구 고려대 밴드동아리 관련 17명 코로나 확진종합,
ynat-v1_dev_00189,True,사회,사회,2,사회,2.0,STOP,징벌적 손해배상제의 언론자유 침해 여부 검토,
ynat-v1_dev_00190,True,정치,정치,6,정치,6.0,STOP,총선 D7 새누리 경북선대위 구미·포항 집중 지원,
ynat-v1_dev_00191,True,사회,사회,2,사회,2.0,STOP,인천소식 북부교육청 인천문화재단과 예술 교육 협약,
ynat-v1_dev_00192,False,사회,정치,2,정치,6.0,STOP,민주노총 여의도 집회 금지에 방역 실패 책임 떠넘기기,
ynat-v1_dev_00193,True,사회,사회,2,사회,2.0,STOP,2021학년도 수능 고사장은,
ynat-v1_dev_00194,True,생활문화,생활문화,3,생활문화,3.0,STOP,옥천 장령산 휴양림에 숲속 카페 생긴다…내년 6월 개장,
ynat-v1_dev_00195,True,사회,사회,2,사회,2.0,STOP,보고 싶었어요…충북 고교 곳곳서 등교 환영행사,
ynat-v1_dev_00196,True,사회,사회,2,사회,2.0,STOP,이화여대 제17대 총장에 김은미 교수 선출,
ynat-v1_dev_00197,False,생활문화,,3,,,SAFETY,김수용 감독 검열 없었다면 봉준호는 50년 전에 나왔을 것,
ynat-v1_dev_00198,True,스포츠,스포츠,5,스포츠,5.0,STOP,아시안게임 김학범호 최종상대 키르기스스탄 바레인과 2...,
ynat-v1_dev_00199,True,생활문화,생활문화,3,생활문화,3.0,STOP,노르웨이관광청 몰데 재즈페스티벌 등 7월 대표 축제 소개,
